person_id,household_id,client_no,role,date_of_birth,employment_status,employment_started,desired_retirement_age,occupation_group,smoker,state_of_health,gross_annual_income,title,first_name,middle_names,last_name,known_as,pronouns,place_of_birth,nationality,gender,legal_sex,home_phone,mobile_phone,email_address
HH000006_P2,HH000006,2,spouse_partner,1983-05-20,employed,2011-04-15,62,healthcare,False,fair,43742.09,Ms,Jennifer,Lee,Smith,Jennife,she_her,"Phoenix, AZ",Mexican,female,female,,(803) 284-9845,jennifer.smith@example.com
HH000007_P1,HH000007,1,primary,1983-05-08,self_employed,2002-07-21,68,sales,False,good,76111.89,Mr,Robert,Ray,Davis,Robert,he_him,"Seattle, WA",American,male,male,,(258) 577-6139,robert.davis@example.com
HH000007_P2,HH000007,2,spouse_partner,1985-07-19,inactive,2009-11-27,70,inactive,False,good,41934.35,Ms,Susan,,Davis,Susan,she_her,"Houston, TX",American,female,female,(429) 913-7464,(791) 421-9918,susan.davis@example.com
HH000008_P1,HH000008,1,primary,1976-10-07,inactive,1999-11-10,68,exec,False,good,175742.2,Mr,James,,Johnson,James,he_him,"Seattle, WA",Other,male,male,(508) 221-4228,(517) 695-8777,james.johnson@example.com
HH000008_P2,HH000008,2,spouse_partner,1972-05-25,employed,1990-12-09,63,education,False,good,64101.41,Dr,Patricia,,Johnson,Patricia,she_her,"New York, NY",Canadian,female,female,,(377) 730-4525,patricia.johnson@example.com
HH000009_P1,HH000009,1,primary,1959-02-24,retired,2000-06-08,60,retired,False,good,62401.53,Mr,Michael,,Brown,Michael,he_him,"Atlanta, GA",American,male,male,(862) 911-0950,(571) 863-4760,michael.brown@example.com
HH000009_P2,HH000009,2,spouse_partner,1966-12-25,retired,2005-07-05,63,retired,True,good,16974.44,Dr,Linda,Jane,Brown,Linda,she_her,"Phoenix, AZ",American,female,female,(904) 279-4147,(364) 283-4227,linda.brown@example.com
HH000010_P1,HH000010,1,primary,1981-04-20,unemployed,2005-04-28,66,sales,False,good,81603.2,Mr,Joseph,Jane,Moore,Joseph,he_him,"Phoenix, AZ",Mexican,male,male,,(319) 596-2148,joseph.moore@example.com
HH000010_P2,HH000010,2,spouse_partner,1971-04-22,employed,1993-06-14,68,professional,False,fair,54964.76,Dr,Margaret,Grace,Anderson,Margare,she_her,"Los Angeles, CA",Other,female,female,(293) 280-3897,(840) 603-4817,margaret.anderson@example.com
HH000011_P1,HH000011,1,primary,1975-02-24,employed,1998-12-27,64,business_owner,False,good,57761.14,Mrs,Elizabeth,,Miller,Elizabeth,she_her,"Chicago, IL",American,female,female,(672) 795-3496,(304) 509-1985,elizabeth.miller@example.com
HH000011_P2,HH000011,2,spouse_partner,1979-12-08,employed,2007-12-10,63,professional,False,good,41546.84,Dr,David,Anne,Miller,David,he_him,"Seattle, WA",American,male,male,(954) 515-2913,(459) 622-1890,david.miller@example.com
HH000012_P1,HH000012,1,primary,1986-06-05,self_employed,2009-04-27,60,exec,False,good,140673.54,Mr,William,Grace,Johnson,William,he_him,"Philadelphia, PA",American,male,male,(349) 547-4794,(784) 888-5264,william.johnson@example.com
HH000012_P2,HH000012,2,spouse_partner,1982-07-23,inactive,2003-11-14,62,inactive,False,fair,25434.3,Mrs,Susan,,Johnson,Susan,she_her,"Seattle, WA",American,female,female,,(518) 269-7545,susan.johnson@example.com
HH000013_P1,HH000013,1,primary,1988-05-10,inactive,2011-01-09,62,operations,True,poor,207811.9,Mrs,Elizabeth,,Anderson,Elizabeth,she_her,"Phoenix, AZ",American,female,female,,(403) 438-2159,elizabeth.anderson@example.com
HH000014_P1,HH000014,1,primary,2001-09-19,retired,2017-09-19,66,retired,False,fair,98743.55,Mr,William,Lee,Johnson,William,he_him,"Los Angeles, CA",Canadian,male,male,,(799) 954-5002,william.johnson@example.com
HH000014_P2,HH000014,2,spouse_partner,2008-08-29,employed,2025-06-26,66,business_owner,False,good,64251.07,Dr,Patricia,Lee,Anderson,Patricia,she_her,"New York, NY",American,female,female,,(398) 799-9935,patricia.anderson@example.com
HH000015_P1,HH000015,1,primary,1974-02-23,employed,1996-06-25,69,finance,False,good,64354.17,Dr,Elizabeth,,Davis,Elizabeth,she_her,"New York, NY",Indian,female,female,,(399) 719-1896,elizabeth.davis@example.com
HH000015_P2,HH000015,2,spouse_partner,1982-07-09,employed,2010-01-30,67,professional,False,excellent,43854.08,Mr,Michael,Grace,Davis,Michael,he_him,"Houston, TX",American,male,male,(742) 563-1397,(366) 552-6900,michael.davis@example.com
HH000016_P1,HH000016,1,primary,1959-01-07,retired,1982-12-05,65,retired,False,fair,63243.89,Mr,James,Lee,Davis,Jame,he_him,"Atlanta, GA",American,male,male,,(797) 235-5042,james.davis@example.com
HH000016_P2,HH000016,2,spouse_partner,1951-03-03,retired,1973-09-26,64,retired,False,good,46926.43,Mrs,Mary,,Davis,Mar,she_her,"Chicago, IL",British,female,female,(803) 297-7668,(763) 844-7643,mary.davis@example.com
HH000017_P1,HH000017,1,primary,1966-05-19,employed,1990-10-12,67,exec,False,good,191366.52,Dr,Linda,,Miller,Linda,she_her,"New York, NY",British,female,female,,(926) 270-8982,linda.miller@example.com
HH000017_P2,HH000017,2,spouse_partner,1961-07-15,employed,1983-08-23,69,education,False,fair,128586.25,Mr,David,Lee,Brown,David,he_him,"Phoenix, AZ",American,male,male,(635) 917-8589,(400) 581-7052,david.brown@example.com
HH000018_P1,HH000018,1,primary,1977-11-24,employed,1999-04-26,70,exec,False,poor,47829.94,Dr,Margaret,Lee,Smith,Margaret,she_her,"Chicago, IL",American,female,female,,(409) 569-4279,margaret.smith@example.com
HH000018_P2,HH000018,2,spouse_partner,1978-01-04,employed,1996-06-07,71,professional,True,fair,37812.11,Dr,David,Rose,Smith,David,he_him,"Los Angeles, CA",American,male,male,(888) 561-6938,(963) 877-0978,david.smith@example.com
HH000019_P1,HH000019,1,primary,1992-07-01,employed,2010-12-24,71,exec,False,fair,89816.37,Dr,Margaret,,Miller,Margaret,she_her,"Phoenix, AZ",American,female,female,,(384) 936-8192,margaret.miller@example.com
HH000020_P1,HH000020,1,primary,1960-12-04,self_employed,1981-04-24,68,professional,False,poor,128335.17,Dr,Margaret,Ray,Anderson,Margaret,she_her,"Houston, TX",Indian,female,female,,(641) 766-0217,margaret.anderson@example.com
HH000021_P1,HH000021,1,primary,1997-04-15,employed,2023-08-15,65,operations,False,good,55769.17,Mrs,Jennifer,,Davis,Jennifer,she_her,"Seattle, WA",Other,female,female,,(543) 687-0540,jennifer.davis@example.com
HH000021_P2,HH000021,2,spouse_partner,1995-12-31,employed,2016-11-21,66,operations,False,good,43188.56,Dr,James,Marie,Davis,Jame,he_him,"Houston, TX",American,male,male,,(302) 377-8604,james.davis@example.com
HH000022_P1,HH000022,1,primary,1977-05-14,self_employed,2000-09-20,68,professional,False,excellent,234173.59,Mr,David,Ray,Johnson,David,he_him,"Philadelphia, PA",American,male,male,,(766) 904-9247,david.johnson@example.com
HH000023_P1,HH000023,1,primary,1969-08-20,employed,1989-04-29,62,operations,False,excellent,101551.63,Dr,Susan,Jane,Brown,Susan,she_her,"Seattle, WA",American,female,female,,(404) 434-3174,susan.brown@example.com
HH000023_P2,HH000023,2,spouse_partner,1972-10-11,inactive,1990-08-08,69,inactive,False,fair,55573.28,Mr,David,,Brown,Davi,he_him,"Chicago, IL",American,male,male,(659) 460-4357,(385) 518-3932,david.brown@example.com
HH000024_P1,HH000024,1,primary,1982-08-22,employed,2005-11-17,66,exec,False,good,57129.72,Dr,Robert,Marie,Anderson,Rober,he_him,"Atlanta, GA",Mexican,male,male,,(334) 931-1779,robert.anderson@example.com
HH000024_P2,HH000024,2,spouse_partner,1980-07-30,employed,2005-11-08,73,operations,False,poor,8217.98,Dr,Mary,Lee,Anderson,Mary,she_her,"Seattle, WA",American,female,female,(508) 949-9532,(375) 356-0541,mary.anderson@example.com
HH000025_P1,HH000025,1,primary,1976-11-27,self_employed,2004-04-25,65,exec,True,excellent,239649.57,Mr,James,Rose,Smith,James,he_him,"Seattle, WA",American,male,male,,(922) 296-9643,james.smith@example.com
HH000026_P1,HH000026,1,primary,1973-06-07,self_employed,1991-12-06,62,professional,False,excellent,47656.58,Mr,Thomas,Marie,Moore,Thoma,he_him,"Seattle, WA",American,male,male,,(402) 468-0473,thomas.moore@example.com
HH000026_P2,HH000026,2,spouse_partner,1981-10-14,employed,2006-09-22,64,operations,True,good,18274.68,Ms,Jennifer,,Moore,Jennife,she_her,"Houston, TX",American,female,female,,(257) 828-6166,jennifer.moore@example.com
HH000027_P1,HH000027,1,primary,1966-02-15,employed,1990-11-02,62,operations,False,poor,67492.12,Dr,Patricia,Jane,Wilson,Patricia,she_her,"New York, NY",Canadian,female,female,(243) 547-6200,(251) 828-7157,patricia.wilson@example.com
HH000027_P2,HH000027,2,spouse_partner,1957-02-18,retired,1988-11-03,69,retired,False,excellent,46384.94,Mr,David,Ray,Davis,David,he_him,"Seattle, WA",British,male,male,,(734) 269-8723,david.davis@example.com
HH000028_P1,HH000028,1,primary,1992-05-06,employed,2012-10-14,61,professional,True,excellent,41858.09,Mr,David,Grace,Brown,David,he_him,"New York, NY",American,male,male,,(847) 323-0737,david.brown@example.com
HH000028_P2,HH000028,2,spouse_partner,2001-01-06,employed,2020-08-23,64,business_owner,False,fair,20857.53,Dr,Elizabeth,,Brown,Elizabet,she_her,"Chicago, IL",American,female,female,(770) 291-4842,(788) 822-3885,elizabeth.brown@example.com
HH000029_P1,HH000029,1,primary,1963-02-28,employed,1990-03-27,69,operations,False,fair,257348.19,Mr,William,James,Brown,William,he_him,"Los Angeles, CA",American,male,male,,(625) 248-0808,william.brown@example.com
HH000030_P1,HH000030,1,primary,1969-02-01,inactive,1995-04-19,65,business_owner,False,good,184526.51,Mr,Daniel,,Miller,Daniel,he_him,"Chicago, IL",American,male,male,,(709) 531-0153,daniel.miller@example.com
HH000030_P2,HH000030,2,spouse_partner,1979-07-18,employed,2006-06-14,61,healthcare,False,good,129425.38,Ms,Jennifer,Lee,Miller,Jennifer,she_her,"Phoenix, AZ",American,female,female,,(216) 829-6295,jennifer.miller@example.com
HH000031_P1,HH000031,1,primary,1966-07-06,self_employed,1987-06-22,65,professional,False,poor,254639.29,Mr,Joseph,Grace,Davis,Joseph,he_him,"New York, NY",Indian,male,male,,(454) 367-7435,joseph.davis@example.com
HH000032_P1,HH000032,1,primary,1971-04-20,employed,1989-10-05,65,operations,False,fair,186248.47,Dr,Robert,Lee,Moore,Robert,he_him,"Atlanta, GA",Irish,male,male,(769) 532-3148,(535) 920-7325,robert.moore@example.com
HH000032_P2,HH000032,2,spouse_partner,1974-08-20,employed,2000-11-06,70,business_owner,False,fair,62248.17,Dr,Susan,Ray,Moore,Susan,she_her,"New York, NY",American,female,female,(914) 816-6403,(367) 636-8119,susan.moore@example.com
HH000033_P1,HH000033,1,primary,1964-05-27,employed,1988-02-07,68,sales,False,fair,206440.4,Mr,Thomas,Grace,Smith,Thomas,he_him,"New York, NY",American,male,male,(766) 664-0534,(205) 528-9076,thomas.smith@example.com
HH000034_P1,HH000034,1,primary,1970-03-31,unemployed,1989-04-24,66,business_owner,False,good,95326.12,Mrs,Linda,,Johnson,Linda,she_her,"Los Angeles, CA",American,female,female,(408) 681-8001,(417) 471-2804,linda.johnson@example.com
HH000034_P2,HH000034,2,spouse_partner,1964-03-10,employed,1985-01-15,64,operations,False,fair,70673.46,Mr,Joseph,Rose,Johnson,Joseph,he_him,"Phoenix, AZ",Indian,male,male,,(225) 940-2790,joseph.johnson@example.com
HH000035_P1,HH000035,1,primary,1991-07-15,self_employed,2011-02-07,66,professional,False,excellent,100386.59,Mrs,Emily,,Miller,Emily,she_her,"Los Angeles, CA",American,female,female,(720) 508-4753,(816) 670-4391,emily.miller@example.com
HH000036_P1,HH000036,1,primary,1977-08-21,self_employed,1999-06-24,64,professional,False,fair,130854.09,Dr,Margaret,Ray,Johnson,Margaret,she_her,"Chicago, IL",American,female,female,,(654) 506-2362,margaret.johnson@example.com
HH000037_P1,HH000037,1,primary,1983-08-23,self_employed,2003-01-20,65,finance,False,excellent,79771.7,Dr,Linda,,Johnson,Lind,she_her,"Los Angeles, CA",American,female,female,(220) 207-2742,(891) 850-0987,linda.johnson@example.com
HH000037_P2,HH000037,2,spouse_partner,1982-03-20,employed,2006-02-02,65,business_owner,True,good,72785.9,Mr,James,James,Johnson,James,he_him,"Philadelphia, PA",Canadian,male,male,,(654) 860-1627,james.johnson@example.com
HH000038_P1,HH000038,1,primary,1974-02-25,employed,2000-07-16,62,sales,False,good,125288.19,Mrs,Margaret,Jane,Brown,Margaret,she_her,"Los Angeles, CA",American,female,female,,(267) 655-7375,margaret.brown@example.com
HH000038_P2,HH000038,2,spouse_partner,1979-09-27,self_employed,2005-02-02,66,business_owner,False,fair,50828.97,Mr,Robert,Anne,Brown,Robert,he_him,"Chicago, IL",American,male,male,(552) 590-4306,(569) 265-7535,robert.brown@example.com
HH000039_P1,HH000039,1,primary,1967-04-17,employed,1992-12-07,68,sales,False,good,147269.31,Mr,William,Jane,Moore,William,he_him,"Houston, TX",American,male,male,,(798) 415-2509,william.moore@example.com
HH000039_P2,HH000039,2,spouse_partner,1972-11-13,employed,1996-04-17,65,education,False,good,44928.48,Mrs,Emily,,Moore,Emily,she_her,"Los Angeles, CA",Other,female,female,,(771) 505-0533,emily.moore@example.com
HH000040_P1,HH000040,1,primary,1967-05-21,employed,1993-03-20,64,finance,False,fair,200927.04,Dr,Susan,Grace,Anderson,Susan,she_her,"Chicago, IL",American,female,female,(386) 973-7262,(795) 357-0642,susan.anderson@example.com
HH000041_P1,HH000041,1,primary,1990-08-20,employed,2012-09-17,68,exec,True,good,32200.66,Mr,Michael,Lee,Johnson,Michael,he_him,"Atlanta, GA",American,male,male,(890) 387-0398,(876) 381-3406,michael.johnson@example.com
HH000041_P2,HH000041,2,spouse_partner,1982-10-30,employed,2010-02-04,65,operations,False,excellent,19076.96,Mrs,Jennifer,,Johnson,Jennifer,she_her,"Houston, TX",Indian,female,female,,(262) 915-7750,jennifer.johnson@example.com
HH000042_P1,HH000042,1,primary,1980-08-07,employed,2001-09-20,66,sales,False,fair,111549.71,Dr,Joseph,James,Moore,Joseph,he_him,"Chicago, IL",Other,male,male,,(768) 808-9575,joseph.moore@example.com
HH000042_P2,HH000042,2,spouse_partner,1972-10-13,employed,1996-06-13,63,business_owner,False,poor,47005.49,Ms,Emily,Grace,Moore,Emil,she_her,"Phoenix, AZ",American,female,female,,(875) 445-5032,emily.moore@example.com
HH000043_P1,HH000043,1,primary,1983-10-01,employed,2010-06-08,62,finance,False,good,257078.99,Mrs,Linda,,Davis,Linda,she_her,"Chicago, IL",American,female,female,(506) 693-4116,(444) 449-2998,linda.davis@example.com
HH000043_P2,HH000043,2,spouse_partner,1984-11-21,employed,2006-12-16,64,professional,False,excellent,158946.44,Mr,William,Jane,Davis,William,he_him,"Phoenix, AZ",American,male,male,,(503) 513-7293,william.davis@example.com
HH000044_P1,HH000044,1,primary,1986-08-03,employed,2006-03-07,70,operations,False,good,84637.6,Ms,Susan,,Johnson,Susan,she_her,"Chicago, IL",American,female,female,(471) 530-8396,(497) 800-4532,susan.johnson@example.com
HH000044_P2,HH000044,2,spouse_partner,1978-11-12,employed,1999-02-10,60,operations,False,excellent,72349.77,Dr,James,,Johnson,James,he_him,"Phoenix, AZ",American,male,male,,(543) 679-0410,james.johnson@example.com
HH000045_P1,HH000045,1,primary,1981-12-05,employed,2001-09-02,66,sales,False,good,73944.16,Mrs,Mary,Lee,Johnson,Mar,she_her,"Atlanta, GA",American,female,female,,(667) 242-3459,mary.johnson@example.com
HH000045_P2,HH000045,2,spouse_partner,1988-08-23,employed,2013-01-14,69,operations,False,fair,31827.39,Dr,Joseph,Anne,Johnson,Josep,he_him,"Phoenix, AZ",American,male,male,,(527) 820-0576,joseph.johnson@example.com
HH000046_P1,HH000046,1,primary,1983-11-09,self_employed,2006-03-04,68,sales,False,excellent,170472.63,Mrs,Susan,,Davis,Susa,she_her,"Philadelphia, PA",American,female,female,(467) 803-8157,(605) 822-0746,susan.davis@example.com
HH000047_P1,HH000047,1,primary,1969-02-23,self_employed,1988-07-23,69,business_owner,False,good,248994.74,Mr,Robert,Grace,Wilson,Robert,he_him,"Philadelphia, PA",American,male,male,,(547) 340-0208,robert.wilson@example.com
HH000047_P2,HH000047,2,spouse_partner,1973-04-02,employed,1996-03-04,68,professional,False,fair,92259.33,Ms,Patricia,,Wilson,Patrici,she_her,"Chicago, IL",American,female,female,,(500) 233-3884,patricia.wilson@example.com
HH000048_P1,HH000048,1,primary,1974-01-03,inactive,1997-08-22,71,sales,False,good,179388.47,Mr,James,Jane,Wilson,James,he_him,"Seattle, WA",American,male,male,(949) 585-6878,(739) 969-4662,james.wilson@example.com
HH000048_P2,HH000048,2,spouse_partner,1973-01-10,employed,2001-03-16,68,professional,False,fair,69836.12,Dr,Elizabeth,,Wilson,Elizabet,she_her,"New York, NY",American,female,female,,(601) 563-0724,elizabeth.wilson@example.com
HH000049_P1,HH000049,1,primary,1986-07-29,employed,2009-10-07,66,sales,False,excellent,115431.02,Mrs,Elizabeth,Marie,Smith,Elizabeth,she_her,"New York, NY",American,female,female,,(739) 253-0510,elizabeth.smith@example.com
HH000050_P1,HH000050,1,primary,1978-07-14,employed,2002-06-07,70,finance,False,fair,81603.19,Mr,James,Rose,Moore,Jame,he_him,"New York, NY",American,male,male,,(727) 971-6400,james.moore@example.com
HH000050_P2,HH000050,2,spouse_partner,1977-11-09,retired,2007-03-31,66,retired,False,good,39972.27,Ms,Patricia,Grace,Moore,Patrici,she_her,"Houston, TX",Canadian,female,female,,(480) 692-2385,patricia.moore@example.com
HH000051_P1,HH000051,1,primary,1998-08-01,self_employed,2018-06-27,67,sales,False,good,100559.35,Dr,Daniel,,Smith,Danie,he_him,"Houston, TX",American,male,male,(616) 929-0225,(424) 291-2318,daniel.smith@example.com
HH000051_P2,HH000051,2,spouse_partner,1993-02-22,employed,2018-08-13,69,operations,False,fair,34992.97,Dr,Linda,Lee,Smith,Lind,she_her,"New York, NY",American,female,female,,(286) 714-3885,linda.smith@example.com
HH000052_P1,HH000052,1,primary,1992-02-02,employed,2017-10-21,72,professional,False,fair,135199.47,Ms,Jennifer,Ray,Johnson,Jennifer,she_her,"Seattle, WA",Indian,female,female,(567) 298-9458,(663) 227-5056,jennifer.johnson@example.com
HH000052_P2,HH000052,2,spouse_partner,1987-07-12,inactive,2007-12-10,61,inactive,True,excellent,85046.27,Dr,Michael,James,Johnson,Michael,he_him,"Phoenix, AZ",American,male,male,,(960) 228-0516,michael.johnson@example.com
HH000053_P1,HH000053,1,primary,1971-11-03,retired,1997-10-22,72,retired,True,fair,166695.82,Mr,William,Ray,Johnson,William,he_him,"Houston, TX",American,male,male,,(712) 228-1006,william.johnson@example.com
HH000053_P2,HH000053,2,spouse_partner,1966-11-06,employed,1993-07-08,66,business_owner,False,good,30106.59,Mrs,Mary,Rose,Davis,Mary,she_her,"Phoenix, AZ",American,female,female,,(833) 907-3536,mary.davis@example.com
HH000054_P1,HH000054,1,primary,1986-12-19,self_employed,2009-01-17,63,finance,False,good,117350.9,Dr,Susan,Rose,Moore,Susa,she_her,"Chicago, IL",American,female,female,(707) 588-8197,(412) 513-0391,susan.moore@example.com
HH000055_P1,HH000055,1,primary,1985-02-02,employed,2005-07-28,64,sales,False,fair,55141.87,Dr,Jennifer,Ray,Wilson,Jennifer,she_her,"Philadelphia, PA",American,female,female,,(844) 845-9873,jennifer.wilson@example.com
HH000055_P2,HH000055,2,spouse_partner,1979-03-21,employed,2005-05-26,67,education,False,good,43527.98,Mr,Daniel,,Wilson,Daniel,he_him,"New York, NY",American,male,male,,(726) 937-3493,daniel.wilson@example.com
HH000056_P1,HH000056,1,primary,1946-02-02,retired,1970-10-27,71,retired,False,good,51207.92,Mr,Joseph,,Davis,Joseph,he_him,"Chicago, IL",American,male,male,,(380) 806-8090,joseph.davis@example.com
HH000056_P2,HH000056,2,spouse_partner,1941-02-01,retired,1972-08-09,69,retired,False,good,23423.79,Dr,Emily,,Davis,Emily,she_her,"Houston, TX",American,female,female,(699) 293-1811,(972) 462-3870,emily.davis@example.com
HH000057_P1,HH000057,1,primary,1961-11-29,self_employed,1988-01-01,67,exec,False,good,80006.77,Ms,Jennifer,Marie,Davis,Jennife,she_her,"Philadelphia, PA",American,female,female,,(248) 533-3406,jennifer.davis@example.com
HH000057_P2,HH000057,2,spouse_partner,1956-05-31,retired,1986-04-22,66,retired,False,good,62495.71,Mr,James,Lee,Davis,James,he_him,"Los Angeles, CA",American,male,male,,(630) 868-3583,james.davis@example.com
HH000058_P1,HH000058,1,primary,1971-04-04,employed,1994-02-26,65,business_owner,False,good,42090.86,Dr,Elizabeth,Lee,Wilson,Elizabet,she_her,"Atlanta, GA",American,female,female,,(554) 481-0509,elizabeth.wilson@example.com
HH000058_P2,HH000058,2,spouse_partner,1961-10-01,employed,1981-06-05,62,healthcare,False,good,17142.09,Dr,Michael,Anne,Wilson,Michael,he_him,"Chicago, IL",British,male,male,(458) 702-3644,(920) 744-3577,michael.wilson@example.com
HH000059_P1,HH000059,1,primary,1979-05-30,employed,2004-03-08,75,business_owner,False,good,70384.63,Mrs,Emily,Lee,Anderson,Emily,she_her,"New York, NY",American,female,female,(229) 569-9355,(332) 433-1893,emily.anderson@example.com
HH000059_P2,HH000059,2,spouse_partner,1987-07-07,employed,2013-07-29,67,education,False,good,59136.28,Mr,William,Marie,Anderson,William,he_him,"Philadelphia, PA",American,male,male,(371) 512-6944,(236) 405-3336,william.anderson@example.com
HH000060_P1,HH000060,1,primary,1975-06-09,self_employed,2003-03-19,62,finance,False,good,141810.76,Dr,Robert,,Wilson,Robert,he_him,"Phoenix, AZ",American,male,male,(271) 224-7230,(922) 243-3271,robert.wilson@example.com
HH000061_P1,HH000061,1,primary,1961-05-07,self_employed,1985-08-15,66,operations,False,good,131565.03,Dr,Jennifer,,Wilson,Jennife,she_her,"Chicago, IL",American,female,female,(237) 926-5835,(295) 623-0279,jennifer.wilson@example.com
HH000062_P1,HH000062,1,primary,1968-12-07,self_employed,1989-08-31,66,exec,False,good,150549.32,Ms,Jennifer,James,Wilson,Jennifer,she_her,"Chicago, IL",Other,female,female,,(935) 453-4323,jennifer.wilson@example.com
HH000062_P2,HH000062,2,spouse_partner,1971-08-05,self_employed,1996-05-09,62,healthcare,False,good,57368.26,Dr,Joseph,Marie,Wilson,Joseph,he_him,"Chicago, IL",American,male,male,,(834) 557-6859,joseph.wilson@example.com
HH000063_P1,HH000063,1,primary,1947-10-02,retired,1980-10-19,62,retired,False,good,29171.43,Dr,Margaret,,Davis,Margaret,she_her,"Atlanta, GA",American,female,female,,(945) 348-5611,margaret.davis@example.com
HH000063_P2,HH000063,2,spouse_partner,1945-08-31,retired,1973-02-18,65,retired,False,fair,8441.94,Mr,James,Lee,Moore,James,he_him,"Seattle, WA",American,male,male,(307) 730-9520,(986) 646-0384,james.moore@example.com
HH000064_P1,HH000064,1,primary,1973-11-24,inactive,1996-07-12,62,business_owner,False,good,55320.43,Mrs,Mary,Lee,Smith,Mar,she_her,"Philadelphia, PA",American,female,female,(557) 787-1796,(558) 798-0363,mary.smith@example.com
HH000064_P2,HH000064,2,spouse_partner,1976-02-06,employed,2001-04-02,66,professional,False,good,20244.4,Dr,David,,Smith,David,he_him,"Chicago, IL",Irish,male,male,,(639) 436-6514,david.smith@example.com
HH000065_P1,HH000065,1,primary,1969-12-02,unemployed,1996-02-25,63,exec,False,excellent,55990.16,Mrs,Emily,Ray,Smith,Emily,she_her,"Chicago, IL",American,female,female,,(777) 509-1569,emily.smith@example.com
HH000065_P2,HH000065,2,spouse_partner,1966-03-06,inactive,1991-11-21,65,inactive,False,fair,25214.32,Dr,William,Lee,Smith,William,he_him,"Houston, TX",American,male,male,,(824) 456-5215,william.smith@example.com
HH000066_P1,HH000066,1,primary,1974-11-29,self_employed,2000-02-20,64,operations,False,good,201543.25,Mr,Michael,James,Brown,Michael,he_him,"Houston, TX",American,male,male,,(264) 734-1142,michael.brown@example.com
HH000067_P1,HH000067,1,primary,1985-07-07,employed,2009-11-15,65,exec,False,good,69553.9,Ms,Linda,,Anderson,Lind,she_her,"Los Angeles, CA",Irish,female,female,(810) 434-7992,(292) 766-3405,linda.anderson@example.com
HH000067_P2,HH000067,2,spouse_partner,1993-12-18,unemployed,2016-10-13,68,education,False,good,32957.27,Mr,Thomas,Ray,Anderson,Thomas,he_him,"Chicago, IL",American,male,male,,(616) 239-5566,thomas.anderson@example.com
HH000068_P1,HH000068,1,primary,1956-09-05,retired,1998-09-20,69,retired,False,good,31856.56,Mr,David,James,Johnson,Davi,he_him,"Philadelphia, PA",American,male,male,(982) 592-6565,(533) 565-4941,david.johnson@example.com
HH000068_P2,HH000068,2,spouse_partner,1952-11-10,retired,1992-05-21,66,retired,False,fair,13011.71,Ms,Mary,,Smith,Mary,she_her,"Philadelphia, PA",American,female,female,(476) 577-7289,(228) 821-2285,mary.smith@example.com
